,laptop_id,company,product,type_name,inches,screen_resolution,screen_resolution_width,screen_resolution_height,cpu,ram,memory_disk,memory_ssd,gpu,op_sys,weight,price
33,34,Dell,XPS 13,Ultrabook,13.3,3200x1800,3200,1800,Intel Core,16,512,SSD,Intel,Windows 10,1.2,1869.0
34,35,Apple,MacBook Air,Ultrabook,13.3,1440x900,1440,900,Intel Core,8,256,Storage,Intel,macOS,1.35,998.0
35,36,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,1366,768,Intel Other,4,64,Storage,Intel,Windows 10,1.44,249.0
36,37,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,Intel Core,4,1000,HDD,Intel,Linux,2.1,367.0
37,38,Dell,Inspiron 5770,Notebook,17.3,1920x1080,1920,1080,Intel Core,8,128,HDD,AMD,Windows 10,2.8,979.0
38,39,HP,250 G6,Notebook,15.6,1366x768,1366,768,Intel Core,4,1000,HDD,Intel,Windows 10,1.86,488.69
39,40,HP,ProBook 450,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,2.1,879.0
40,41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,1920x1080,1920,1080,Intel Core,4,1000,HDD,Intel,Linux,2.0,389.0
41,42,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,2.65,1499.0
42,43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,1366,768,Intel Core,8,1000,HDD,Nvidia,Linux,2.3,522.99
43,44,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,256,SSD,Intel,Windows 10,2.2,682.0
44,45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,1920x1080,1920,1080,Intel Core,12,1000,HDD,Nvidia,Windows 10,2.77,999.0
45,46,Apple,MacBook Pro,Ultrabook,13.3,2560x1600,2560,1600,Intel Core,8,256,SSD,Intel,macOS,1.37,1419.0
46,47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,1366,768,Intel Core,4,128,SSD,Intel,No OS,2.2,369.0
47,48,Asus,Rog Strix,Gaming,17.3,1920x1080,1920,1080,AMD,8,256,HDD,AMD,Windows 10,3.2,1299.0
48,49,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,256,SSD,AMD,Windows 10,2.3,639.0
49,50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,1366,768,Intel Other,4,1000,HDD,Nvidia,Windows 10,2.8,466.0
50,51,Lenovo,Yoga Book,2 in 1 Convertible,10.1,1920x1200,1920,1200,Intel Other,4,64,Storage,Intel,Android or Chrome,0.69,319.0
51,52,Acer,Aspire A515-51G,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,2.2,841.0
52,53,HP,255 G6,Notebook,15.6,1920x1080,1920,1080,AMD,4,256,SSD,AMD,Windows 10,1.86,398.49
53,54,HP,ProBook 430,Notebook,13.3,1920x1080,1920,1080,Intel Core,8,512,SSD,Intel,Windows 10,1.49,1103.0
54,55,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,Intel Core,4,1000,HDD,Intel,Windows 10,2.4,384.0
55,56,Dell,Inspiron 3576,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,2.13,767.8
56,57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,Intel Core,4,128,SSD,Intel,Windows 10,1.91,439.0
57,58,Asus,VivoBook Max,Notebook,15.6,1366x768,1366,768,Intel Core,4,256,SSD,Intel,Windows 10,2.0,586.19
58,59,MSI,GS73VR 7RG,Gaming,17.3,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,2.43,2449.0
59,60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,1920x1080,1920,1080,Intel Core,4,256,SSD,Intel,Linux,2.0,415.0
60,61,Dell,Inspiron 5770,Notebook,17.3,1920x1080,1920,1080,Intel Core,16,256,HDD,AMD,Windows 10,2.8,1299.0
61,62,Dell,Vostro 5471,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.7,879.0
62,63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,No OS,1.7,599.0
63,64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.4,941.0
64,66,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.86,690.0
65,67,Asus,ZenBook Pro,Ultrabook,15.6,1920x1080,1920,1080,Intel Core,16,512,SSD,Nvidia,Windows 10,1.8,1983.0
66,68,HP,250 G6,Notebook,15.6,1366x768,1366,768,Intel Core,4,500,HDD,AMD,Windows 10,1.86,438.69
67,69,HP,Stream 14-AX040wm,Notebook,14.0,1366x768,1366,768,Intel Other,4,32,SSD,Intel,Windows 10,1.44,229.0
68,70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,Intel Core,4,1000,HDD,Intel,Windows 10,1.9,549.0
69,71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,1920x1080,1920,1080,Intel Core,12,1000,HDD,Nvidia,Linux,3.0,949.0
70,72,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,2256,1504,Intel Core,4,128,SSD,Intel,Windows 10,1.252,1089.0
71,73,Dell,Inspiron 5370,Ultrabook,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,1.4,955.0
72,74,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,2.2,870.0
73,75,MSI,GL72M 7RDX,Gaming,17.3,1920x1080,1920,1080,Intel Core,8,128,HDD,Nvidia,Windows 10,2.7,1095.0
74,76,Acer,Aspire E5-475,Notebook,14.0,1366x768,1366,768,Intel Core,8,1000,HDD,Intel,Windows 10,2.1,389.0
75,77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,1920x1080,1920,1080,Intel Core,8,1000,HDD,Nvidia,Windows 10,2.2,949.0
76,78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,2000,HDD,Intel,No OS,2.2,519.0
77,79,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,128,HDD,Intel,Windows 10,2.02,855.0
78,80,Acer,Aspire A515-51G-32MX,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,1000,HDD,Nvidia,Windows 10,2.2,530.0
79,81,HP,ProBook 470,Notebook,17.3,1920x1080,1920,1080,Intel Core,8,128,HDD,Nvidia,Windows 10,2.5,977.0
80,82,Dell,Latitude 5590,Ultrabook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.88,1096.16
81,83,Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,2304,1440,Intel Core,8,512,SSD,Intel,macOS,0.92,1510.0
82,84,HP,ProBook 440,Notebook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.63,860.0
83,85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,1920,1080,AMD,4,128,SSD,AMD,Windows 10,2.2,399.0
84,86,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,AMD,4,1000,HDD,AMD,Windows 10,2.1,395.0
85,87,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,128,HDD,Nvidia,Windows 10,2.65,1349.0
86,88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,1.83,699.0
87,89,HP,250 G6,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.96,598.99
88,90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,128,HDD,Nvidia,Windows 10,2.2,1449.0
89,91,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.21,1649.0
90,92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,1920x1080,1920,1080,AMD,8,1000,HDD,AMD,Windows 10,2.45,699.0
91,93,Acer,Aspire 5,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,1000,HDD,Nvidia,Windows 10,2.2,689.0
92,94,HP,Probook 430,Notebook,13.3,1920x1080,1920,1080,Intel Core,16,512,SSD,Intel,Windows 10,1.49,1197.0
93,95,Dell,Inspiron 7577,Gaming,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,2.65,1195.0
94,96,Asus,Zenbook UX430UA,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.25,1049.0
95,97,Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.5,847.0
96,98,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,1000,HDD,AMD,Linux,2.2,599.9
97,99,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,256,SSD,AMD,Linux,2.2,485.0
98,100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,1920x1080,1920,1080,Intel Core,6,256,SSD,Nvidia,Windows 10,2.0,577.0
99,102,HP,Omen 15-ce007nv,Gaming,15.6,1920x1080,1920,1080,Intel Core,12,128,HDD,Nvidia,Windows 10,2.62,1249.0
100,103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,1.91,719.0
101,104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,1920x1080,1920,1080,AMD,4,500,HDD,AMD,Windows 10,2.1,349.0
102,105,Dell,Inspiron 3576,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,1000,HDD,AMD,Linux,2.2,647.0
103,106,HP,Envy 13-ad009n,Ultrabook,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,1.38,1119.0
104,107,Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,2256,1504,Intel Core,8,256,SSD,Intel,Windows 10,1.252,1340.0
105,108,HP,Pavilion 14-BK001nv,Notebook,14.0,1920x1080,1920,1080,Intel Core,6,256,SSD,Nvidia,Windows 10,1.58,659.0
106,109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,1000,HDD,Intel,Windows 10,1.85,414.9
107,110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,1.3,1193.0
108,111,MSI,GP62M 7REX,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,2.2,1299.0
109,112,Lenovo,Thinkpad T470,Notebook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.58,1480.0
110,113,Asus,VivoBook S15,Ultrabook,15.6,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,1.5,1262.0
111,114,Dell,XPS 13,Ultrabook,13.3,3200x1800,3200,1800,Intel Core,8,256,SSD,Intel,Windows 10,1.23,1379.0
112,115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.37,1399.0
113,116,HP,Probook 440,Notebook,14.0,1366x768,1366,768,Intel Core,4,500,HDD,Intel,Windows 10,1.63,722.0
114,117,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.21,1629.0
115,118,HP,Spectre x360,2 in 1 Convertible,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.26,1398.99
116,119,HP,Probook 440,Notebook,14.0,1920x1080,1920,1080,Intel Core,8,512,SSD,Intel,Windows 10,1.63,1084.0
117,120,Dell,Inspiron 7570,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,HDD,Nvidia,Windows 10,2.16,1130.33
118,121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,1920x1080,1920,1080,Intel Core,4,1000,HDD,Nvidia,Windows 10,2.0,564.0
119,122,Asus,VivoBook S15,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,1.7,1118.0
120,123,Acer,Spin 3,Notebook,15.6,1920x1080,1920,1080,Intel Core,6,1000,HDD,Intel,Windows 10,2.1,479.0
121,124,MSI,GS63VR 7RG,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,1.8,2241.5
122,125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,No OS,2.2,629.0
123,126,HP,Probook 470,Notebook,17.3,1920x1080,1920,1080,Intel Core,16,512,SSD,Nvidia,Windows 10,2.5,1271.0
124,127,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,AMD,4,256,SSD,AMD,Windows 10,2.1,451.0
125,128,HP,250 G6,Notebook,15.6,1366x768,1366,768,Intel Other,4,500,HDD,Intel,No OS,1.86,259.0
126,129,HP,Probook 440,Notebook,14.0,1920x1080,1920,1080,Intel Core,8,1000,HDD,Intel,Windows 10,1.63,812.0
127,130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,1366,768,AMD,4,64,SSD,AMD,Windows 10,1.65,277.99
128,131,Dell,Inspiron 5770,Notebook,17.3,1920x1080,1920,1080,Intel Core,16,256,HDD,AMD,Windows 10,2.8,1396.0
129,132,HP,ProBook 470,Notebook,17.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,2.5,928.0
130,133,Dell,Inspiron 5567,Notebook,15.6,1366x768,1366,768,Intel Core,8,1000,HDD,AMD,Windows 10,2.36,638.99
131,134,Dell,Inspiron 3567,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,1000,HDD,AMD,Windows 10,2.2,449.0
132,135,Acer,Swift 3,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.6,884.0
133,136,Acer,Aspire A515-51G-37JS,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,256,SSD,Nvidia,Windows 10,2.2,572.0
134,137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,1366x768,1366,768,Intel Core,8,1000,HDD,Intel,Windows 10,2.05,598.0
135,138,HP,Probook 440,Notebook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.63,988.0
136,139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,1366x768,1366,768,Intel Other,4,1000,HDD,Intel,No OS,1.9,252.36
137,140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,1920x1080,1920,1080,Intel Core,8,128,HDD,Nvidia,Windows 10,3.0,938.0
138,141,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1920x1080,1920,1080,Intel Core,4,1000,HDD,Nvidia,No OS,2.2,499.0
139,142,HP,Envy 13-AD007nv,Notebook,13.3,1920x1080,1920,1080,Intel Core,4,256,SSD,Intel,Windows 10,1.32,699.0
140,143,Acer,Aspire 5,Notebook,17.3,1920x1080,1920,1080,Intel Core,4,1000,HDD,Nvidia,Windows 10,3.0,655.0
141,144,Lenovo,ThinkPad E480,Notebook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,1.75,1116.02
142,145,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,No OS,2.4,869.0
143,146,Toshiba,Satellite Pro,Notebook,15.6,1366x768,1366,768,Intel Core,4,500,HDD,Intel,Windows 10,2.1,602.0
144,147,HP,255 G6,Notebook,15.6,1366x768,1366,768,AMD,4,256,SSD,AMD,Windows 10,1.86,369.0
145,148,Asus,ZenBook UX430UA,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.25,1099.0
146,149,HP,EliteBook Folio,Ultrabook,12.5,3840x2160,3840,2160,Intel Core,8,512,SSD,Intel,Windows 10,0.97,2014.0
147,150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,1920,1080,Intel Other,4,1000,HDD,Intel,Windows 10,2.0,344.0
148,151,MSI,GE72MVR 7RG,Gaming,17.3,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,2.9,2029.0
149,152,Acer,Aspire A315-51,Notebook,15.6,1366x768,1366,768,Intel Core,4,1000,HDD,Intel,Windows 10,2.1,447.0
150,153,Dell,Inspiron 5577,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,512,SSD,Nvidia,Windows 10,2.56,1249.26
151,154,Dell,Inspiron 7567,Gaming,15.6,1920x1080,1920,1080,Intel Core,8,1000,Hybrid,Nvidia,Windows 10,2.62,899.0
152,155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,1366,768,Intel Core,4,128,SSD,Intel,Windows 10,1.9,498.0
153,156,MSI,GE73VR 7RE,Gaming,17.3,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,2.8,1890.0
154,157,HP,EliteBook 840,Ultrabook,14.0,1920x1080,1920,1080,Intel Core,4,256,SSD,Intel,Windows 10,1.48,1082.0
155,158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,1920x1080,1920,1080,Intel Core,6,256,SSD,AMD,Windows 10,1.91,619.0
156,159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,1920x1080,1920,1080,Intel Core,4,256,SSD,Intel,Windows 10,1.74,629.0
157,160,Asus,ZenBook Flip,2 in 1 Convertible,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.1,1315.0
158,161,Dell,Inspiron 5579,2 in 1 Convertible,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.56,1049.0
159,163,Toshiba,Satellite Pro,Notebook,15.6,1366x768,1366,768,Intel Core,4,500,HDD,Intel,Windows 10,2.1,447.0
160,164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,1366,768,AMD,4,1000,HDD,AMD,Windows 10,2.03,403.0
161,165,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,1920,1080,Intel Core,4,256,SSD,Nvidia,Windows 10,3.0,805.0
162,166,Dell,Inspiron 3576,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,AMD,Windows 10,2.13,728.0
163,167,Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,256,SSD,Nvidia,Windows 10,2.5,1079.0
164,168,Acer,Aspire A315-31,Notebook,15.6,1366x768,1366,768,Intel Other,4,1000,HDD,Intel,Windows 10,2.1,348.0
165,169,MSI,GE63VR 7RE,Gaming,15.6,1920x1080,1920,1080,Intel Core,16,256,HDD,Nvidia,Windows 10,2.4,1799.0
166,170,Acer,Aspire 3,Notebook,15.6,1366x768,1366,768,Intel Other,4,1000,HDD,Intel,Windows 10,2.1,363.51
167,171,Dell,Inspiron 5577,Gaming,15.6,1920x1080,1920,1080,Intel Core,8,128,HDD,Nvidia,Windows 10,2.56,1060.49
168,172,Acer,Aspire A517-51G,Notebook,17.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,3.0,854.0
169,173,HP,ProBook 430,Notebook,13.3,1920x1080,1920,1080,Intel Core,4,500,HDD,Intel,Windows 10,1.49,754.0
170,174,Huawei,MateBook X,Ultrabook,13.0,2160x1440,2160,1440,Intel Core,8,256,SSD,Intel,Windows 10,1.05,1349.0
171,175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,1920x1080,1920,1080,Intel Core,6,2000,HDD,AMD,Windows 10,2.71,699.0
172,176,Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,1366,768,AMD,4,500,HDD,AMD,No OS,2.2,309.0
173,177,Toshiba,Satellite Pro,Notebook,15.6,1366x768,1366,768,Intel Core,4,500,HDD,Intel,Windows 10,2.0,489.0
174,178,HP,ProBook 470,Notebook,17.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,Windows 10,2.5,923.0
175,179,Dell,Inspiron 3567,Notebook,15.6,1366x768,1366,768,Intel Core,8,1000,HDD,Intel,Windows 10,2.3,459.0
176,180,Acer,Aspire A315-51,Notebook,15.6,1366x768,1366,768,Intel Core,4,128,SSD,Intel,Windows 10,2.1,449.0
177,181,MSI,GT80S 6QF-074US,Gaming,18.4,1920x1080,1920,1080,Intel Core,32,512,HDD,Nvidia,Windows 10,4.4,2799.0
178,182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,128,HDD,AMD,Windows 10,1.9,813.0
179,183,HP,Spectre x360,2 in 1 Convertible,13.3,3840x2160,3840,2160,Intel Core,8,256,SSD,Intel,Windows 10,1.29,1499.0
180,184,Dell,Inspiron 5570,Notebook,15.6,1920x1080,1920,1080,Intel Core,16,256,HDD,AMD,Linux,2.02,1049.0
181,185,Dell,XPS 13,Ultrabook,13.3,1920x1080,1920,1080,Intel Core,8,256,SSD,Intel,Windows 10,1.23,1399.0
182,186,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,3840x2160,3840,2160,Intel Core,16,512,SSD,Intel,Windows 10,1.4,1849.0
183,187,Toshiba,Satellite Pro,Notebook,15.6,1366x768,1366,768,Intel Core,8,128,SSD,Intel,Windows 10,2.0,793.0
184,188,Xiaomi,Mi Notebook,Notebook,15.6,1920x1080,1920,1080,Intel Core,8,256,SSD,Nvidia,No OS,1.95,1199.0
185,189,Dell,Inspiron 7773,Notebook,17.3,1920x1080,1920,1080,Intel Core,16,512,SSD,Nvidia,Windows 10,2.77,1549.0
186,190,Dell,XPS 15,Notebook,15.6,3840x2160,3840,2160,Intel Core,16,512,SSD,Nvidia,Windows 10,2.06,2397.0
