datetime,weathersit,temp,atemp,hum,windspeed,cnt
2011-01-04 20:00:00,1,0.24,0.2576,0.48,0.1045,54
2011-01-04 21:00:00,1,0.22,0.2727,0.64,0.0,48
2011-01-04 22:00:00,1,0.22,0.2576,0.64,0.0896,35
2011-01-04 23:00:00,1,0.2,0.2273,0.69,0.0896,11
2011-01-05 00:00:00,1,0.2,0.2576,0.64,0.0,6
2011-01-05 01:00:00,1,0.16,0.19699999999999998,0.74,0.0896,6
2011-01-05 02:00:00,1,0.16,0.19699999999999998,0.74,0.0896,2
2011-01-05 04:00:00,1,0.24,0.2273,0.48,0.2239,2
2011-01-05 05:00:00,1,0.22,0.2273,0.47,0.1642,3
2011-01-05 06:00:00,1,0.2,0.19699999999999998,0.47,0.2239,33
2011-01-05 07:00:00,1,0.18,0.1818,0.43,0.19399999999999998,88
2011-01-05 08:00:00,1,0.2,0.1818,0.4,0.2985,195
2011-01-05 09:00:00,1,0.22,0.19699999999999998,0.37,0.3284,115
2011-01-05 10:00:00,1,0.22,0.19699999999999998,0.37,0.3284,57
2011-01-05 11:00:00,1,0.26,0.2273,0.33,0.3284,46
2011-01-05 12:00:00,1,0.26,0.2273,0.33,0.3284,79
2011-01-05 13:00:00,1,0.28,0.2576,0.3,0.2985,71
2011-01-05 14:00:00,1,0.3,0.2879,0.28,0.19399999999999998,62
2011-01-05 15:00:00,1,0.3,0.2879,0.28,0.19399999999999998,62
2011-01-05 16:00:00,1,0.3,0.3182,0.28,0.0896,89
2011-01-05 17:00:00,1,0.24,0.2273,0.38,0.19399999999999998,190
2011-01-05 18:00:00,1,0.24,0.2424,0.38,0.1343,169
2011-01-05 19:00:00,1,0.24,0.2576,0.38,0.1045,132
2011-01-05 20:00:00,1,0.22,0.2273,0.47,0.1642,89
2011-01-05 21:00:00,1,0.2,0.19699999999999998,0.51,0.19399999999999998,43
2011-01-05 22:00:00,1,0.18,0.19699999999999998,0.55,0.1343,42
2011-01-05 23:00:00,1,0.2,0.2576,0.47,0.0,19
2011-01-06 00:00:00,1,0.18,0.2424,0.55,0.0,11
2011-01-06 01:00:00,1,0.16,0.2273,0.64,0.0,4
2011-01-06 02:00:00,1,0.16,0.2273,0.64,0.0,2
2011-01-06 04:00:00,2,0.16,0.19699999999999998,0.64,0.0896,1
2011-01-06 05:00:00,2,0.14,0.1818,0.69,0.0896,4
2011-01-06 06:00:00,2,0.14,0.1667,0.63,0.1045,36
2011-01-06 07:00:00,2,0.16,0.2273,0.59,0.0,95
2011-01-06 08:00:00,1,0.16,0.2273,0.59,0.0,219
2011-01-06 09:00:00,2,0.18,0.2424,0.51,0.0,122
2011-01-06 10:00:00,1,0.2,0.2576,0.47,0.0,45
2011-01-06 11:00:00,1,0.22,0.2576,0.44,0.0896,59
2011-01-06 12:00:00,1,0.26,0.2879,0.35,0.0,84
2011-01-06 13:00:00,1,0.26,0.2727,0.35,0.1045,67
2011-01-06 14:00:00,1,0.28,0.2727,0.36,0.1642,70
2011-01-06 15:00:00,1,0.28,0.2727,0.36,0.0,62
2011-01-06 16:00:00,1,0.26,0.2576,0.38,0.1642,86
2011-01-06 17:00:00,1,0.22,0.2273,0.51,0.1642,172
2011-01-06 18:00:00,1,0.22,0.2273,0.51,0.1343,163
2011-01-06 19:00:00,1,0.22,0.2576,0.55,0.0896,112
2011-01-06 20:00:00,1,0.2,0.2121,0.51,0.1642,69
2011-01-06 21:00:00,2,0.22,0.2121,0.55,0.2239,48
2011-01-06 22:00:00,2,0.22,0.2121,0.51,0.2836,52
2011-01-06 23:00:00,2,0.2,0.19699999999999998,0.59,0.19399999999999998,23
2011-01-07 00:00:00,2,0.2,0.19699999999999998,0.64,0.19399999999999998,17
2011-01-07 01:00:00,2,0.2,0.19699999999999998,0.69,0.2239,7
2011-01-07 02:00:00,2,0.2,0.19699999999999998,0.69,0.2239,1
2011-01-07 04:00:00,2,0.2,0.2121,0.69,0.1343,1
2011-01-07 05:00:00,3,0.22,0.2727,0.55,0.0,5
2011-01-07 06:00:00,2,0.2,0.2576,0.69,0.0,34
2011-01-07 07:00:00,1,0.2,0.2121,0.69,0.1343,84
2011-01-07 08:00:00,1,0.2,0.19699999999999998,0.51,0.2537,210
2011-01-07 09:00:00,1,0.2,0.1818,0.47,0.2985,134
2011-01-07 10:00:00,1,0.22,0.19699999999999998,0.37,0.3284,63
2011-01-07 11:00:00,2,0.2,0.19699999999999998,0.4,0.2239,67
2011-01-07 12:00:00,2,0.2,0.19699999999999998,0.37,0.2537,59
2011-01-07 13:00:00,2,0.2,0.1818,0.37,0.2836,73
2011-01-07 14:00:00,2,0.2,0.19699999999999998,0.4,0.2537,50
2011-01-07 15:00:00,2,0.2,0.2121,0.37,0.1642,72
2011-01-07 16:00:00,2,0.2,0.2121,0.37,0.1642,87
2011-01-07 17:00:00,2,0.2,0.2576,0.37,0.0,187
2011-01-07 18:00:00,1,0.2,0.2273,0.4,0.0896,123
2011-01-07 19:00:00,1,0.16,0.19699999999999998,0.55,0.0896,95
2011-01-07 20:00:00,1,0.18,0.2121,0.47,0.1045,51
2011-01-07 21:00:00,1,0.18,0.19699999999999998,0.47,0.1343,39
2011-01-07 22:00:00,2,0.18,0.19699999999999998,0.43,0.1642,36
2011-01-07 23:00:00,2,0.18,0.19699999999999998,0.51,0.1642,15
2011-01-08 00:00:00,2,0.18,0.19699999999999998,0.51,0.1642,25
2011-01-08 01:00:00,2,0.18,0.2121,0.55,0.0896,16
2011-01-08 02:00:00,2,0.18,0.2424,0.55,0.0,16
2011-01-08 03:00:00,3,0.18,0.19699999999999998,0.55,0.1642,7
2011-01-08 04:00:00,3,0.18,0.19699999999999998,0.55,0.1642,1
2011-01-08 05:00:00,2,0.16,0.1667,0.74,0.1642,5
2011-01-08 06:00:00,2,0.16,0.1667,0.74,0.1642,2
2011-01-08 07:00:00,2,0.16,0.1818,0.74,0.1045,9
2011-01-08 08:00:00,3,0.16,0.1818,0.93,0.1045,15
2011-01-08 09:00:00,3,0.16,0.1818,0.93,0.1045,20
2011-01-08 10:00:00,2,0.18,0.19699999999999998,0.8,0.1642,61
2011-01-08 11:00:00,2,0.2,0.1818,0.69,0.3881,62
2011-01-08 12:00:00,2,0.2,0.1818,0.59,0.3582,98
2011-01-08 13:00:00,1,0.2,0.1818,0.44,0.3284,102
2011-01-08 14:00:00,1,0.2,0.1667,0.32,0.4925,95
2011-01-08 15:00:00,1,0.2,0.1667,0.32,0.4478,74
2011-01-08 16:00:00,1,0.18,0.1364,0.29,0.4478,76
2011-01-08 17:00:00,1,0.16,0.1212,0.37,0.5522,69
2011-01-08 18:00:00,1,0.14,0.1212,0.39,0.2985,55
2011-01-08 19:00:00,1,0.14,0.1212,0.36,0.2537,30
2011-01-08 20:00:00,1,0.12,0.1212,0.36,0.2537,28
2011-01-08 21:00:00,1,0.12,0.1061,0.39,0.3582,37
2011-01-08 22:00:00,1,0.12,0.1061,0.36,0.3881,34
2011-01-08 23:00:00,1,0.1,0.0606,0.39,0.4478,22
2011-01-09 00:00:00,1,0.1,0.0758,0.42,0.3881,25
2011-01-09 01:00:00,1,0.1,0.0606,0.42,0.4627,12
2011-01-09 02:00:00,1,0.1,0.0606,0.46,0.4627,11
2011-01-09 03:00:00,1,0.1,0.0758,0.46,0.4179,4
2011-01-09 04:00:00,1,0.08,0.0909,0.53,0.19399999999999998,1
2011-01-09 05:00:00,1,0.08,0.0909,0.53,0.19399999999999998,1
2011-01-09 06:00:00,1,0.1,0.0909,0.49,0.2836,1
2011-01-09 07:00:00,1,0.08,0.0909,0.53,0.19399999999999998,6
2011-01-09 08:00:00,1,0.1,0.0909,0.49,0.2836,10
2011-01-09 09:00:00,1,0.12,0.0758,0.46,0.5224,19
2011-01-09 10:00:00,1,0.14,0.1061,0.43,0.3881,49
2011-01-09 11:00:00,1,0.16,0.1212,0.4,0.5224,49
2011-01-09 12:00:00,1,0.18,0.1364,0.37,0.4478,83
2011-01-09 13:00:00,1,0.2,0.1667,0.34,0.4478,75
2011-01-09 14:00:00,1,0.22,0.1818,0.32,0.4627,72
2011-01-09 15:00:00,1,0.22,0.19699999999999998,0.35,0.3582,82
2011-01-09 16:00:00,1,0.2,0.1667,0.34,0.4478,92
2011-01-09 17:00:00,1,0.18,0.1515,0.37,0.3881,62
2011-01-09 18:00:00,1,0.16,0.1364,0.4,0.3284,48
2011-01-09 19:00:00,1,0.16,0.1364,0.43,0.3284,41
2011-01-09 20:00:00,1,0.14,0.1212,0.46,0.2537,38
2011-01-09 21:00:00,1,0.14,0.1061,0.46,0.4179,20
2011-01-09 22:00:00,1,0.14,0.1212,0.46,0.2985,15
2011-01-09 23:00:00,1,0.12,0.1364,0.5,0.19399999999999998,6
2011-01-10 00:00:00,1,0.12,0.1212,0.5,0.2836,5
2011-01-10 01:00:00,1,0.12,0.1212,0.5,0.2836,1
2011-01-10 02:00:00,1,0.12,0.1212,0.5,0.2239,3
2011-01-10 03:00:00,1,0.12,0.1212,0.5,0.2239,1
2011-01-10 04:00:00,1,0.1,0.1212,0.54,0.1343,3
2011-01-10 05:00:00,1,0.1,0.1061,0.54,0.2537,3
2011-01-10 06:00:00,1,0.12,0.1212,0.5,0.2836,31
2011-01-10 07:00:00,1,0.12,0.1212,0.5,0.2239,77
2011-01-10 08:00:00,2,0.12,0.1212,0.5,0.2836,188
2011-01-10 09:00:00,2,0.14,0.1212,0.5,0.2537,94
2011-01-10 10:00:00,2,0.14,0.1212,0.5,0.2985,31
2011-01-10 11:00:00,2,0.16,0.1364,0.47,0.2836,30
2011-01-10 12:00:00,2,0.2,0.1818,0.4,0.2836,52
2011-01-10 13:00:00,2,0.2,0.1818,0.4,0.2836,54
2011-01-10 14:00:00,2,0.2,0.19699999999999998,0.4,0.2239,47
2011-01-10 15:00:00,2,0.2,0.19699999999999998,0.4,0.2239,45
2011-01-10 16:00:00,1,0.2,0.2121,0.4,0.1343,74
2011-01-10 17:00:00,1,0.2,0.2273,0.4,0.1045,178
2011-01-10 18:00:00,1,0.2,0.19699999999999998,0.4,0.2239,155
2011-01-10 19:00:00,1,0.16,0.1667,0.47,0.1642,95
2011-01-10 20:00:00,1,0.16,0.1667,0.5,0.1642,74
2011-01-10 21:00:00,1,0.14,0.1364,0.59,0.19399999999999998,38
2011-01-10 22:00:00,1,0.14,0.1515,0.59,0.1642,24
2011-01-10 23:00:00,1,0.14,0.1515,0.59,0.1642,18
2011-01-11 00:00:00,1,0.14,0.1667,0.59,0.1045,12
2011-01-11 01:00:00,1,0.14,0.1515,0.59,0.1642,3
2011-01-11 02:00:00,2,0.16,0.1515,0.55,0.19399999999999998,3
2011-01-11 05:00:00,2,0.16,0.1818,0.55,0.1343,6
2011-01-11 06:00:00,2,0.16,0.1818,0.55,0.1343,27
2011-01-11 07:00:00,2,0.16,0.2273,0.55,0.0,99
2011-01-11 08:00:00,2,0.18,0.2121,0.51,0.0896,217
2011-01-11 09:00:00,2,0.18,0.19699999999999998,0.51,0.1642,130
2011-01-11 10:00:00,2,0.2,0.2121,0.51,0.1642,54
2011-01-11 11:00:00,2,0.2,0.2121,0.47,0.1343,35
2011-01-11 12:00:00,2,0.2,0.2273,0.51,0.1045,57
2011-01-11 13:00:00,2,0.2,0.2273,0.59,0.0896,52
2011-01-11 14:00:00,2,0.2,0.2273,0.59,0.0896,63
2011-01-11 15:00:00,2,0.16,0.19699999999999998,0.8,0.0896,47
2011-01-11 16:00:00,2,0.16,0.1515,0.86,0.2239,76
2011-01-11 17:00:00,2,0.16,0.1515,0.86,0.2239,136
2011-01-11 18:00:00,3,0.16,0.1818,0.93,0.1045,95
2011-01-11 19:00:00,3,0.16,0.2273,0.93,0.0,51
2011-01-11 20:00:00,3,0.16,0.1515,0.93,0.19399999999999998,32
2011-01-11 21:00:00,3,0.16,0.19699999999999998,0.86,0.0896,20
2011-01-11 22:00:00,3,0.16,0.1818,0.93,0.1045,29
2011-01-11 23:00:00,3,0.16,0.19699999999999998,0.93,0.0896,19
2011-01-12 00:00:00,2,0.16,0.19699999999999998,0.86,0.0896,7
2011-01-12 01:00:00,2,0.16,0.1818,0.86,0.1045,6
2011-01-12 02:00:00,1,0.14,0.1515,0.86,0.1343,1
2011-01-12 05:00:00,1,0.14,0.1515,0.86,0.1642,5
2011-01-12 06:00:00,1,0.12,0.1515,0.93,0.1343,16
2011-01-12 07:00:00,1,0.14,0.1515,0.69,0.1343,54
2011-01-12 08:00:00,1,0.16,0.1667,0.59,0.1642,128
2011-01-12 09:00:00,1,0.16,0.1364,0.59,0.3284,81
2011-01-12 10:00:00,1,0.18,0.1818,0.55,0.2239,39
2011-01-12 11:00:00,1,0.2,0.1818,0.51,0.3881,35
2011-01-12 12:00:00,1,0.2,0.1515,0.47,0.5821,55
2011-01-12 13:00:00,1,0.22,0.19699999999999998,0.44,0.3582,49
2011-01-12 14:00:00,1,0.2,0.1818,0.47,0.3284,44
2011-01-12 15:00:00,1,0.2,0.1667,0.47,0.4179,49
2011-01-12 16:00:00,1,0.22,0.19699999999999998,0.44,0.3284,68
2011-01-12 17:00:00,1,0.2,0.1818,0.47,0.3582,139
2011-01-12 18:00:00,1,0.2,0.1515,0.47,0.5224,137
2011-01-12 19:00:00,1,0.18,0.1515,0.47,0.4179,83
2011-01-12 20:00:00,1,0.16,0.1364,0.5,0.3284,56
2011-01-12 21:00:00,1,0.16,0.1364,0.55,0.3284,57
2011-01-12 22:00:00,1,0.16,0.1212,0.55,0.4478,33
2011-01-12 23:00:00,1,0.14,0.1061,0.59,0.4179,20
2011-01-13 00:00:00,1,0.14,0.1212,0.59,0.2836,7
2011-01-13 01:00:00,1,0.14,0.1212,0.5,0.2836,2
2011-01-13 02:00:00,1,0.14,0.1212,0.5,0.3582,2
2011-01-13 03:00:00,1,0.14,0.1212,0.5,0.3284,3
2011-01-13 04:00:00,1,0.14,0.1212,0.5,0.2537,4
2011-01-13 05:00:00,1,0.14,0.1212,0.5,0.2985,3
2011-01-13 06:00:00,1,0.12,0.1515,0.54,0.1343,28
2011-01-13 07:00:00,1,0.12,0.1515,0.54,0.1343,72
2011-01-13 08:00:00,1,0.14,0.1364,0.5,0.19399999999999998,202
2011-01-13 09:00:00,1,0.14,0.1212,0.5,0.3284,139
2011-01-13 10:00:00,2,0.16,0.1364,0.5,0.3582,38
2011-01-13 11:00:00,2,0.2,0.1667,0.44,0.4478,37
2011-01-13 12:00:00,1,0.2,0.1667,0.44,0.4179,52
2011-01-13 13:00:00,1,0.22,0.19699999999999998,0.41,0.4478,83
2011-01-13 14:00:00,1,0.22,0.19699999999999998,0.41,0.3881,42
2011-01-13 15:00:00,1,0.24,0.2121,0.38,0.2985,60
2011-01-13 16:00:00,1,0.24,0.2121,0.38,0.3582,78
2011-01-13 17:00:00,1,0.2,0.1818,0.4,0.2836,162
2011-01-13 18:00:00,1,0.2,0.1818,0.4,0.3284,144
2011-01-13 19:00:00,1,0.16,0.1515,0.47,0.2537,99
2011-01-13 20:00:00,1,0.16,0.1515,0.47,0.2239,64
2011-01-13 21:00:00,1,0.14,0.1212,0.46,0.2985,40
2011-01-13 22:00:00,1,0.14,0.1212,0.46,0.3284,30
2011-01-13 23:00:00,1,0.12,0.1364,0.5,0.19399999999999998,15
2011-01-14 00:00:00,1,0.12,0.1364,0.5,0.19399999999999998,14
2011-01-14 01:00:00,1,0.1,0.1212,0.54,0.1642,5
2011-01-14 02:00:00,1,0.1,0.1212,0.54,0.1343,1
2011-01-14 03:00:00,1,0.1,0.1364,0.54,0.1045,1
2011-01-14 05:00:00,1,0.1,0.1364,0.54,0.0896,8
2011-01-14 06:00:00,1,0.1,0.1818,0.54,0.0,17
2011-01-14 07:00:00,1,0.1,0.1212,0.74,0.1642,70
2011-01-14 08:00:00,1,0.12,0.1667,0.68,0.0,158
2011-01-14 09:00:00,1,0.14,0.1515,0.69,0.1343,117
2011-01-14 10:00:00,1,0.18,0.1818,0.55,0.19399999999999998,44
2011-01-14 11:00:00,1,0.18,0.1667,0.51,0.2836,53
2011-01-14 12:00:00,1,0.2,0.19699999999999998,0.44,0.2537,61
2011-01-14 13:00:00,1,0.22,0.19699999999999998,0.37,0.3881,77
2011-01-14 14:00:00,1,0.22,0.2121,0.41,0.2836,64
2011-01-14 15:00:00,1,0.24,0.2424,0.38,0.1642,68
2011-01-14 16:00:00,1,0.22,0.2424,0.41,0.1045,90
2011-01-14 17:00:00,1,0.22,0.2273,0.41,0.1642,159
2011-01-14 18:00:00,1,0.2,0.2576,0.47,0.0,139
2011-01-14 19:00:00,1,0.16,0.19699999999999998,0.59,0.0896,92
2011-01-14 20:00:00,1,0.18,0.2424,0.59,0.0,68
2011-01-14 21:00:00,1,0.16,0.2273,0.69,0.0,52
2011-01-14 22:00:00,2,0.16,0.2273,0.69,0.0,36
2011-01-14 23:00:00,2,0.18,0.2424,0.55,0.0,27
2011-01-15 00:00:00,1,0.18,0.2424,0.55,0.0,28
2011-01-15 01:00:00,2,0.16,0.19699999999999998,0.59,0.0896,20
2011-01-15 02:00:00,2,0.16,0.19699999999999998,0.59,0.0896,12
2011-01-15 03:00:00,2,0.16,0.2273,0.59,0.0,8
2011-01-15 04:00:00,2,0.16,0.2273,0.59,0.0,5
2011-01-15 05:00:00,1,0.16,0.2273,0.59,0.0,1
2011-01-15 06:00:00,1,0.14,0.1667,0.63,0.1045,3
2011-01-15 07:00:00,1,0.14,0.2121,0.63,0.0,10
2011-01-15 08:00:00,1,0.14,0.1515,0.63,0.1343,23
2011-01-15 09:00:00,1,0.16,0.1818,0.64,0.1343,33
2011-01-15 10:00:00,1,0.18,0.19699999999999998,0.59,0.1642,59
2011-01-15 11:00:00,1,0.2,0.19699999999999998,0.55,0.2239,72
2011-01-15 12:00:00,1,0.24,0.2273,0.48,0.2239,89
2011-01-15 13:00:00,1,0.28,0.2576,0.38,0.2985,101
2011-01-15 14:00:00,1,0.3,0.2879,0.39,0.2836,118
2011-01-15 15:00:00,2,0.32,0.3182,0.36,0.19399999999999998,129
2011-01-15 16:00:00,2,0.34,0.3333,0.34,0.19399999999999998,128
2011-01-15 17:00:00,2,0.32,0.303,0.36,0.2836,83
2011-01-15 18:00:00,2,0.3,0.2879,0.45,0.2537,84
2011-01-15 19:00:00,2,0.32,0.303,0.39,0.2537,74
2011-01-15 20:00:00,2,0.32,0.303,0.39,0.2537,41
2011-01-15 21:00:00,2,0.32,0.303,0.39,0.2239,57
2011-01-15 22:00:00,2,0.3,0.3182,0.42,0.1045,26
2011-01-15 23:00:00,1,0.3,0.2879,0.45,0.2836,44
2011-01-16 00:00:00,1,0.26,0.303,0.56,0.0,39
2011-01-16 01:00:00,1,0.26,0.2727,0.56,0.1343,23
2011-01-16 02:00:00,1,0.26,0.2879,0.56,0.0896,16
2011-01-16 03:00:00,1,0.22,0.2727,0.69,0.0,15
2011-01-16 04:00:00,1,0.26,0.2576,0.56,0.1642,1
2011-01-16 05:00:00,2,0.26,0.2576,0.56,0.1642,2
2011-01-16 06:00:00,2,0.26,0.2576,0.56,0.1642,1
2011-01-16 07:00:00,2,0.24,0.2121,0.56,0.2985,3
2011-01-16 08:00:00,1,0.22,0.2121,0.55,0.2836,18
2011-01-16 09:00:00,1,0.22,0.2121,0.51,0.2537,32
2011-01-16 10:00:00,1,0.22,0.2121,0.51,0.2836,79
2011-01-16 11:00:00,1,0.24,0.2273,0.44,0.2537,93
2011-01-16 12:00:00,1,0.24,0.2121,0.41,0.2836,104
2011-01-16 13:00:00,1,0.26,0.2273,0.35,0.2985,118
2011-01-16 14:00:00,1,0.28,0.2727,0.36,0.2537,91
2011-01-16 15:00:00,1,0.26,0.2424,0.38,0.2537,113
2011-01-16 16:00:00,1,0.24,0.2273,0.38,0.2239,99
2011-01-16 17:00:00,1,0.22,0.2121,0.37,0.2537,105
2011-01-16 18:00:00,1,0.2,0.2121,0.4,0.1642,67
2011-01-16 19:00:00,1,0.18,0.19699999999999998,0.47,0.1343,61
2011-01-16 20:00:00,1,0.18,0.19699999999999998,0.47,0.1642,57
2011-01-16 21:00:00,1,0.18,0.19699999999999998,0.51,0.1642,28
2011-01-16 22:00:00,2,0.2,0.2121,0.49,0.1343,21
2011-01-16 23:00:00,2,0.2,0.2273,0.4,0.1045,18
2011-01-17 00:00:00,2,0.2,0.19699999999999998,0.47,0.2239,17
2011-01-17 01:00:00,2,0.2,0.19699999999999998,0.44,0.19399999999999998,16
2011-01-17 02:00:00,2,0.18,0.1667,0.43,0.2537,8
2011-01-17 03:00:00,2,0.18,0.1818,0.43,0.19399999999999998,2
2011-01-17 04:00:00,2,0.18,0.19699999999999998,0.43,0.1343,3
2011-01-17 05:00:00,2,0.18,0.19699999999999998,0.43,0.1642,1
2011-01-17 06:00:00,2,0.18,0.1818,0.43,0.19399999999999998,5
2011-01-17 07:00:00,2,0.16,0.1818,0.5,0.1343,13
2011-01-17 08:00:00,2,0.16,0.1515,0.47,0.2239,33
2011-01-17 09:00:00,2,0.16,0.1515,0.47,0.2239,47
2011-01-17 10:00:00,2,0.16,0.1515,0.5,0.2537,57
2011-01-17 11:00:00,2,0.16,0.1515,0.55,0.19399999999999998,64
2011-01-17 12:00:00,2,0.18,0.19699999999999998,0.47,0.1343,80
2011-01-17 13:00:00,2,0.18,0.19699999999999998,0.47,0.1343,93
2011-01-17 14:00:00,2,0.18,0.2121,0.43,0.1045,86
2011-01-17 15:00:00,2,0.2,0.2121,0.47,0.1642,93
2011-01-17 16:00:00,2,0.2,0.2121,0.47,0.1642,82
