Month,Python,SQL,R,JavaScript,Visual Basic for Applications
2015-04-01,18,34,12,32,8
2015-05-01,16,30,11,30,7
2015-06-01,18,34,11,32,8
2015-07-01,18,32,11,32,8
2015-08-01,17,29,10,31,7
2015-09-01,19,31,11,31,8
2015-10-01,20,31,11,31,7
2015-11-01,20,31,11,31,7
2015-12-01,18,28,10,29,7
2016-01-01,21,27,10,30,8
2016-02-01,23,29,12,33,9
2016-03-01,24,30,11,33,9
2016-04-01,23,30,11,33,9
2016-05-01,23,29,11,33,9
2016-06-01,23,30,11,33,9
2016-07-01,22,27,10,30,8
2016-08-01,22,29,10,31,8
2016-09-01,24,28,11,31,8
2016-10-01,25,29,11,32,8
2016-11-01,28,30,11,35,8
2016-12-01,25,26,11,32,7
2017-01-01,26,27,11,32,8
2017-02-01,29,29,12,36,9
2017-03-01,32,31,12,37,9
2017-04-01,29,29,12,35,8
2017-05-01,29,30,12,34,8
2017-06-01,29,28,11,34,9
2017-07-01,28,28,11,33,8
2017-08-01,28,28,10,34,8
2017-09-01,32,29,11,33,8
2017-10-01,33,29,12,33,8
2017-11-01,34,29,12,35,8
2017-12-01,30,24,11,31,7
2018-01-01,32,27,11,32,8
2018-02-01,35,28,12,34,8
2018-03-01,35,28,12,33,8
2018-04-01,35,28,13,33,8
2018-05-01,34,29,13,34,8
2018-06-01,34,27,11,32,8
2018-07-01,34,27,12,32,8
2018-08-01,35,27,11,32,8
2018-09-01,36,26,11,31,7
2018-10-01,40,28,12,32,8
2018-11-01,38,26,11,31,8
2018-12-01,33,22,10,28,6
2019-01-01,36,25,10,30,7
2019-02-01,39,27,11,33,8
2019-03-01,40,27,11,32,8
2019-04-01,39,27,12,31,7
2019-05-01,38,26,11,30,7
2019-06-01,41,27,11,30,7
2019-07-01,41,27,10,32,7
2019-08-01,40,26,10,31,7
2019-09-01,44,27,11,31,7
2019-10-01,45,27,11,32,7
2019-11-01,44,27,10,31,7
2019-12-01,39,23,9,27,6
2020-01-01,42,25,9,29,7
2020-02-01,46,27,10,32,7
2020-03-01,41,23,10,29,6
2020-04-01,46,21,11,29,6
2020-05-01,45,21,10,29,6
2020-06-01,43,22,10,30,6
2020-07-01,43,22,9,29,7
2020-08-01,43,21,9,29,6
2020-09-01,45,22,10,29,6
2020-10-01,39,20,9,24,6
2020-11-01,36,18,9,22,<5
2020-12-01,33,17,8,22,<5
